ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560
1007_s_at,11.9628,11.3878,11.1928,11.9036,11.7523
1053_at,7.05652,7.33711,7.26121,7.91211,8.27448
117_at,6.55585,6.96023,7.14488,7.13887,7.72479
121_at,8.4385,8.51636,8.43138,8.67404,8.78145
1255_g_at,3.73169,3.77978,3.99853,3.69171,3.93509
1294_at,9.21781,8.68893,9.53345,8.28728,8.35532
1316_at,5.65081,5.59373,5.39758,5.87546,5.76576
1320_at,6.26584,5.72866,5.69869,5.75049,5.70967
1405_i_at,9.24805,8.83435,10.683,8.85718,8.68914
1431_at,4.07407,4.48415,4.46467,4.58431,4.5152
1438_at,6.76007,7.28739,6.39593,6.22988,6.75017
1487_at,9.27442,9.47725,8.73488,8.23779,8.35433
1494_f_at,6.23334,6.36011,6.30953,6.27847,6.21242
1552256_a_at,8.41461,7.92419,8.9591,7.99348,8.64607
1552257_a_at,10.4274,9.18992,8.32012,9.05793,8.8308
1552258_at,5.32642,5.51683,5.56449,5.35686,5.42463
1552261_at,5.11381,5.45957,5.49824,6.94612,5.70888
1552263_at,5.50486,6.59065,5.86212,7.21689,6.95478
1552264_a_at,7.43257,7.49126,7.15929,7.41033,7.3744
1552266_at,4.14796,4.10025,4.84791,4.04687,4.22577
1552269_at,4.45394,4.4076,4.25138,5.6529,4.4781
1552271_at,6.44386,6.68314,6.52715,6.30766,6.49418
1552272_a_at,5.64209,6.58675,5.79825,5.94838,5.85032
1552274_at,6.76178,6.98236,7.46504,4.85819,5.35027
1552275_s_at,5.74245,5.24086,5.92563,5.55862,6.00991
1552276_a_at,6.53728,6.1532,6.25483,5.8008,5.92088
1552277_a_at,7.48927,7.26276,7.29193,7.89159,7.97443
1552278_a_at,5.83248,7.19222,4.89961,7.2762,6.83922
1552279_a_at,7.45152,7.72803,7.95616,7.49684,7.53201
1552280_at,4.3694,4.27772,4.89806,5.41393,4.379
1552281_at,7.09144,7.70358,7.56127,7.34184,7.2991
1552283_s_at,5.08931,7.55831,7.34795,7.83227,7.68081
1552286_at,5.33261,6.98546,5.73353,6.9809,6.30777
1552287_s_at,6.05463,8.30521,9.04218,7.15439,7.05813
